col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139,col140,col141,col142,col143,col144,col145,col146,col147,col148,col149,col150,col151,col152,col153,class
20279,462434,13951362,473769458,460460,10464388,315582248,13786558,312297504,464646734,20279,-9377236652,4.33614E+15,-2.00508E+21,-9337207880,4.31763E+15,-1.99652E+21,4.2992E+15,-1.988E+21,-1.97951E+21,5.74E+61,1.36E+64,1.12E+71,-9.61E+75,1.36E+64,5.67E+69,-6.69E+74,1.12E+71,-6.69E+74,-9.61E+75,112,38,103,140,142,107,19,144,132,202,71,99,74,57,84,159,100,134,28,60,0,11,1,14,16,18,10,18,13,13,6,13,3,16,5,15,5,5,17,15,4,16,10,1,1,8,4,14,15,8,1,4,4,9,1,9,15,13,9,14,4,15,9,3,4,3,3,4,12,6,13,9,13,12,16,3,10,4,1,6,9,16,10,13,5,8,20,6,3,8,13,13,4,11,18,16,18,13,10,4,3,10,3,13,20,20,8,12,9,9,17,5,8,18,10,12,9,6,9,1,8,16,15,1
9041,141267,2880281,65900505,135462,2110065,43158197,2649896,41051567,58297986,9041,-1277053680,1.80386E+14,-2.54797E+19,-1224576480,1.72973E+14,-2.44327E+19,1.65865E+14,-2.34287E+19,-2.2466E+19,5.67E+37,1.27E+40,1.35E+46,-3.70E+50,1.27E+40,6.88E+44,-2.58E+49,1.35E+46,-2.58E+49,-3.70E+50,68,20,39,46,36,76,15,38,49,72,14,18,69,31,65,86,35,54,13,28,0,11,18,14,9,16,15,12,6,6,18,20,13,6,13,16,6,4,9,9,10,9,18,6,5,18,6,10,3,13,6,1,13,3,16,17,15,3,6,1,10,10,8,1,6,16,4,1,13,9,15,6,16,8,10,16,9,13,15,1,6,6,1,6,1,6,9,13,13,9,15,12,1,5,20,15,9,10,14,12,5,10,20,12,18,10,4,15,13,15,6,19,1,5,8,20,7,1,20,18,5,10,10,1
10524,168057,3510459,82418229,172015,2747185,57360035,3628009,58029717,85629463,10524,-1768463811,2.97174E+14,-4.99375E+19,-1810113845,3.04173E+14,-5.11136E+19,3.11337E+14,-5.23174E+19,-5.35496E+19,2.05E+39,-2.96E+41,6.21E+47,-2.04E+52,-2.96E+41,3.09E+46,-1.57E+51,6.21E+47,-1.57E+51,-2.04E+52,43,6,37,63,27,53,38,29,68,93,17,55,74,45,63,130,51,36,6,26,0,11,9,8,13,12,8,6,12,18,11,12,9,5,4,8,10,6,18,18,6,4,6,1,20,6,18,18,10,9,2,15,7,9,4,17,7,4,8,18,1,8,9,9,5,9,3,16,4,4,12,4,4,18,9,4,17,17,10,15,4,10,9,11,10,15,17,10,9,14,4,12,8,18,4,10,9,4,1,5,15,15,15,6,9,10,20,10,18,5,4,20,18,4,9,12,11,10,4,10,10,4,4,1
4954,62328,1032370,19182744,60853,760569,12566527,984255,12172685,17787163,4954,-308710584,1.92374E+13,-1.19879E+18,-301404909,1.87822E+13,-1.17042E+18,1.83377E+13,-1.14272E+18,-1.11568E+18,7.27E+28,5.17E+30,5.72E+36,-8.88E+40,5.17E+30,3.11E+35,-6.84E+39,5.72E+36,-6.84E+39,-8.88E+40,107,7,24,50,14,46,10,7,20,57,4,4,61,16,35,43,29,16,4,8,0,11,16,12,14,20,14,4,4,6,2,16,4,15,13,4,2,9,16,9,16,13,17,10,10,16,16,20,2,8,3,16,8,10,6,15,15,16,13,2,9,11,15,10,10,6,1,1,14,16,10,13,1,13,10,17,16,15,1,3,13,4,9,1,18,14,6,16,13,9,16,16,16,1,13,5,4,1,4,10,7,10,13,13,9,10,15,15,10,20,6,13,6,6,6,15,10,10,14,6,1,1,1,1
2234,17255,176831,2060837,17466,132401,1335285,174096,1299163,1946760,2234,-38530415,6.64545E+11,-1.14616E+16,-39001578,6.72671E+11,-1.16017E+16,6.80897E+11,-1.17436E+16,-1.18872E+16,6.91E+16,2.19E+18,4.62E+23,-1.71E+27,2.19E+18,2.47E+22,-1.52E+26,4.62E+23,-1.52E+26,-1.71E+27,17,7,7,26,8,11,4,14,11,16,6,10,0,5,10,14,16,23,3,10,0,11,6,15,10,10,1,10,18,18,6,1,1,10,18,16,16,1,2,6,6,2,18,4,18,3,16,4,17,4,1,18,20,6,11,17,5,9,8,10,2,8,16,2,9,15,15,16,4,17,12,1,4,17,5,17,4,19,17,5,15,14,9,6,17,4,4,5,18,9,8,10,15,20,4,12,4,18,10,14,10,4,4,3,4,15,5,4,6,15,18,18,19,12,6,16,15,6,17,9,3,10,14,1
4295,47217,682795,11105589,45088,488521,6982475,612640,6547103,9328468,4295,-202749798,9.57101E+12,-4.51809E+17,-193607872,9.13945E+12,-4.31437E+17,8.72736E+12,-4.11984E+17,-3.93408E+17,5.19E+24,6.67E+26,1.94E+32,-1.87E+36,6.67E+26,1.01E+31,-1.36E+35,1.94E+32,-1.36E+35,-1.87E+36,37,8,20,27,17,25,14,10,18,41,10,19,17,14,27,27,33,27,10,13,0,11,1,1,10,15,20,1,6,10,3,3,17,3,16,4,3,4,10,13,13,6,19,4,4,15,17,17,9,3,6,19,18,20,20,1,12,7,17,4,4,9,17,14,19,4,7,13,9,17,6,9,15,9,15,18,1,6,3,10,13,20,6,19,4,14,4,17,3,4,12,6,14,18,5,5,18,3,7,8,12,9,15,17,17,20,10,3,13,15,10,1,5,17,18,3,3,12,13,17,9,13,17,1
5128,60708,943814,16549194,61202,714959,11034711,952020,11032751,16613924,5128,-311249916,1.88917E+13,-1.14665E+18,-313782654,1.90454E+13,-1.15598E+18,1.92004E+13,-1.16539E+18,-1.17487E+18,3.13E+27,7.72E+28,2.00E+35,-2.81E+39,7.72E+28,1.06E+34,-2.24E+38,2.00E+35,-2.24E+38,-2.81E+39,27,10,43,41,26,22,13,32,35,42,16,24,20,34,34,25,12,29,12,19,0,11,17,10,10,8,17,6,3,16,8,18,16,1,4,1,18,19,3,7,18,17,11,1,12,15,4,10,1,5,9,1,6,3,18,8,9,18,10,3,1,16,12,9,3,19,19,19,6,14,8,3,3,4,4,6,19,5,13,1,16,5,18,15,10,19,18,12,14,4,3,4,18,4,4,6,13,16,3,18,14,12,6,7,10,3,13,12,16,3,2,10,2,10,6,15,13,10,14,12,15,3,14,1
5123,59011,883897,14872261,58023,663383,9927989,863859,9824745,14545695,5123,-302254342,1.78328E+13,-1.05213E+18,-297193806,1.75343E+13,-1.03451E+18,1.72407E+13,-1.01719E+18,-1.00016E+18,1.36E+26,7.05E+27,6.87E+33,-8.56E+37,7.05E+27,3.77E+32,-6.96E+36,6.87E+33,-6.96E+36,-8.56E+37,28,12,19,25,21,31,19,37,18,50,9,22,21,9,32,36,33,42,3,17,0,11,1,2,15,6,6,1,6,12,6,7,15,1,16,1,17,10,16,15,18,16,13,6,16,10,20,17,2,15,17,15,17,7,12,8,2,11,18,16,3,5,5,20,13,12,11,6,6,18,4,16,7,8,20,14,10,16,14,2,10,8,4,15,6,7,9,18,8,8,18,17,7,1,20,6,12,15,9,6,8,15,20,10,17,16,6,10,9,18,20,20,10,13,10,9,18,11,20,12,14,16,17,1
2659,22725,255829,3280923,22559,193910,2198548,244171,2078924,2935565,2659,-60403050,1.37214E+12,-3.11702E+16,-59961822,1.36212E+12,-3.09425E+16,1.35217E+12,-3.07165E+16,-3.04921E+16,2.24E+19,2.16E+21,2.72E+26,-1.29E+30,2.16E+21,1.40E+25,-9.42E+28,2.72E+26,-9.42E+28,-1.29E+30,16,6,12,24,14,21,6,4,14,23,7,6,19,11,21,16,11,14,7,9,0,11,17,2,19,10,15,6,18,17,1,17,5,6,15,13,1,4,19,13,6,20,10,16,7,10,2,6,15,16,1,1,11,3,10,6,13,11,15,9,16,20,15,6,3,15,4,1,5,4,4,17,7,10,17,16,10,3,13,18,9,14,5,1,1,19,5,4,4,1,18,14,2,13,3,8,6,4,1,12,1,11,2,10,1,17,2,17,15,3,6,9,13,16,1,15,11,10,10,10,9,6,5,1
1840,13954,134838,1460092,13571,100167,949799,129417,941415,1386047,1840,-25661406,3.57885E+11,-4.99121E+15,-24957069,3.48062E+11,-4.85421E+15,3.38508E+11,-4.72098E+15,-4.5914E+15,3.79237E+15,8.09E+16,1.81E+22,-5.71E+25,8.09E+16,1.04E+21,-5.46E+24,1.81E+22,-5.46E+24,-5.71E+25,17,7,9,15,11,17,2,7,13,21,2,3,13,13,8,8,7,13,2,6,0,11,1,1,16,10,18,6,9,9,8,18,5,18,17,6,12,1,9,9,10,4,4,18,18,14,8,10,6,3,9,5,13,2,17,10,18,1,14,9,8,3,10,13,4,20,14,6,4,13,3,4,8,16,8,14,9,2,14,4,1,18,15,14,18,14,6,13,18,10,18,4,3,17,2,10,2,5,12,1,10,6,6,10,13,6,13,20,8,9,19,5,10,4,9,10,9,13,4,6,10,7,14,1
11588,213565,5206791,142975015,203349,3772426,92440734,4704333,87542346,122569767,11588,-2474577655,5.28438E+14,-1.12846E+20,-2356204863,5.03159E+14,-1.07448E+20,4.79091E+14,-1.02308E+20,-9.74142E+19,1.02E+47,5.45E+49,6.03E+55,-2.63E+60,5.45E+49,3.09E+54,-1.71E+59,6.03E+55,-1.71E+59,-2.63E+60,87,11,66,166,37,52,19,74,156,104,30,56,27,84,77,61,39,55,2,30,0,11,6,5,10,9,10,8,4,8,4,12,5,9,16,20,9,6,15,14,8,8,6,13,5,14,15,5,17,1,8,8,6,13,12,6,16,6,9,16,12,10,11,3,1,8,16,5,18,10,6,4,9,17,16,12,10,15,18,9,17,10,15,3,10,8,7,6,1,13,18,6,9,13,1,1,12,15,1,5,18,16,11,18,20,16,4,4,6,1,4,3,15,17,5,1,15,18,8,18,6,6,16,1
10079,165082,3555948,86272018,166777,2714753,58168559,3624261,58814539,88763737,10079,-1663696396,2.74619E+14,-4.53302E+19,-1680778606,2.77439E+14,-4.57956E+19,2.80287E+14,-4.62658E+19,-4.67409E+19,6.27E+40,-8.95E+41,2.21E+49,-7.92E+53,-8.95E+41,1.15E+48,-6.04E+52,2.21E+49,-6.04E+52,-7.92E+53,81,23,55,68,43,79,12,76,56,96,30,39,42,38,50,62,63,74,11,22,0,11,6,15,6,1,6,15,4,20,16,13,1,1,17,17,1,4,12,6,6,6,9,9,9,14,9,4,9,4,10,3,4,10,9,9,4,18,1,11,3,3,7,9,10,16,10,3,4,10,6,15,9,20,14,18,3,10,16,9,6,10,17,12,14,15,1,14,3,18,10,1,15,3,6,13,12,1,10,17,13,13,13,17,17,13,4,19,18,9,5,2,15,14,10,5,6,6,5,16,8,10,10,1
5012,57260,859966,14563034,54442,612597,9107307,769282,8562571,12211096,5012,-286929860,1.64263E+13,-9.40384E+17,-272808862,1.56179E+13,-8.94104E+17,1.48493E+13,-8.50101E+17,-8.08264E+17,1.33E+26,2.31E+28,6.25E+33,-6.79E+37,2.31E+28,3.28E+32,-4.79E+36,6.25E+33,-4.79E+36,-6.79E+37,29,5,23,21,23,22,8,20,30,44,13,17,29,10,26,29,44,35,9,19,0,11,15,9,16,13,6,10,16,3,2,10,19,1,19,8,10,10,10,16,17,10,17,6,15,16,20,6,14,13,16,10,14,3,4,10,9,3,12,17,17,18,5,17,15,8,10,3,15,10,10,3,6,20,3,12,15,10,15,13,6,10,6,4,15,18,17,4,18,9,17,3,8,5,18,17,16,5,6,13,18,16,3,7,3,11,4,20,17,8,3,18,5,5,15,14,16,19,9,3,4,15,10,1
7193,96552,1702414,33779556,93020,1249419,22023169,1583322,21184663,30592694,7193,-694401984,6.70366E+13,-6.47162E+18,-668999840,6.45843E+13,-6.23488E+18,6.22217E+13,-6.0068E+18,-5.78706E+18,6.86E+31,1.36E+34,7.82E+39,-1.46E+44,1.36E+34,4.16E+38,-1.07E+43,7.82E+39,-1.07E+43,-1.46E+44,38,4,40,28,10,65,30,15,25,51,22,36,58,29,36,107,29,23,3,18,0,11,7,7,14,14,15,11,1,1,10,6,17,3,9,4,10,16,3,10,10,3,5,16,1,11,5,16,13,13,18,16,16,6,9,12,6,13,17,16,10,1,16,6,7,5,17,6,16,12,18,4,3,15,16,16,16,6,16,19,6,12,6,6,7,13,16,13,16,15,12,20,6,3,6,17,13,20,3,7,11,17,16,15,3,10,6,16,7,3,12,10,16,13,13,5,18,12,16,15,8,14,16,1
16907,356380,9851158,305777410,352733,7464983,206058939,9576227,203025819,291004991,16907,-6024960280,2.14705E+15,-7.6512E+20,-5963304098,2.12508E+15,-7.5729E+20,2.10333E+15,-7.4954E+20,-7.4187E+20,1.34E+55,1.35E+57,1.62E+64,-1.07E+69,1.35E+57,7.96E+62,-7.44E+67,1.62E+64,-7.44E+67,-1.07E+69,155,17,70,103,41,92,51,42,73,182,37,33,212,108,86,121,59,101,9,44,0,11,4,1,18,13,15,11,13,11,8,19,10,3,10,9,4,1,6,3,5,7,5,14,13,1,18,9,9,5,18,10,9,12,20,6,4,12,13,4,1,20,12,4,4,10,9,9,10,4,10,10,15,14,12,1,18,15,18,13,15,3,5,4,6,2,16,18,10,15,9,20,10,6,14,10,7,20,10,14,16,15,18,13,11,6,16,6,14,4,1,1,18,13,18,17,19,17,4,8,5,16,6,1
7063,96551,1741329,35507501,92156,1244064,22298756,1585364,21092758,30736922,7063,-681843162,6.58233E+13,-6.35441E+18,-650805672,6.2827E+13,-6.06515E+18,5.99672E+13,-5.78907E+18,-5.52555E+18,1.82E+33,6.32E+35,2.42E+41,-4.65E+45,6.32E+35,1.28E+40,-3.05E+44,2.42E+41,-3.05E+44,-4.65E+45,41,9,40,39,35,52,13,28,35,82,10,20,42,31,56,47,43,35,12,14,0,11,19,18,10,10,15,16,6,20,13,10,15,8,10,10,13,10,15,6,4,19,11,6,15,15,6,10,13,15,12,10,1,13,6,13,13,15,15,15,20,15,9,4,17,10,14,1,10,3,11,13,18,10,13,18,17,1,17,4,8,15,14,20,10,15,6,7,6,8,13,5,14,3,6,7,16,2,10,15,1,10,16,13,5,1,4,16,16,14,10,9,6,14,17,6,18,17,17,16,5,16,10,1
3156,30031,367821,5067439,29669,286555,3544475,361595,3508961,4959497,3156,-94747805,2.84447E+12,-8.53952E+16,-93605695,2.81018E+12,-8.43658E+16,2.77631E+12,-8.33489E+16,-8.23442E+16,4.78E+20,1.18E+22,8.53E+27,-5.86E+31,1.18E+22,4.65E+26,-5.04E+30,8.53E+27,-5.04E+30,-5.86E+31,40,8,12,10,12,30,2,17,16,41,6,9,16,22,18,17,16,22,0,9,0,11,1,3,9,14,8,16,10,13,1,9,10,8,12,6,6,8,1,6,10,8,6,18,17,2,18,5,13,8,3,10,1,9,17,15,10,14,12,14,14,12,6,14,15,18,20,17,16,11,16,3,2,10,8,9,17,18,15,16,4,6,20,5,6,11,20,15,6,1,1,18,12,10,17,10,18,17,13,4,9,1,8,9,10,1,1,12,3,5,5,15,7,14,10,16,9,3,6,14,9,10,17,1
5323,63466,988864,17351548,62357,738136,11422342,964143,11197196,16841285,5323,-337766052,2.14326E+13,-1.35999E+18,-331863954,2.10581E+13,-1.33622E+18,2.06902E+13,-1.31287E+18,-1.28993E+18,3.25E+27,2.81E+29,2.04E+35,-2.84E+39,2.81E+29,1.12E+34,-2.24E+38,2.04E+35,-2.24E+38,-2.84E+39,41,12,21,28,16,55,17,16,17,69,10,13,33,15,35,33,27,44,6,13,0,11,10,13,15,15,13,10,1,19,13,1,19,10,10,15,6,1,13,6,1,1,6,16,19,6,15,13,18,6,13,10,1,15,15,6,2,2,16,1,13,6,17,13,4,18,13,10,17,15,4,15,20,13,18,15,15,10,13,5,16,17,18,16,9,14,3,10,1,1,5,4,15,8,18,13,6,6,18,18,17,3,13,4,1,10,14,1,13,12,18,3,19,10,15,17,10,15,6,2,16,9,18,1
5218,62255,968175,16957397,58455,683312,10497658,857933,9871802,14199063,5218,-324784335,2.02156E+13,-1.25828E+18,-304959735,1.89816E+13,-1.18147E+18,1.7823E+13,-1.10936E+18,-1.04164E+18,3.19E+27,7.33E+29,1.86E+35,-2.27E+39,7.33E+29,9.91E+33,-1.55E+38,1.86E+35,-1.55E+38,-2.27E+39,32,12,27,21,29,25,2,29,39,53,9,25,27,16,22,36,27,38,8,20,0,11,9,5,10,10,17,17,1,5,10,8,10,8,16,10,19,18,4,4,1,20,16,9,4,9,16,16,9,9,6,9,6,9,9,9,14,20,10,2,13,16,14,14,16,1,4,3,10,1,15,18,13,1,12,16,17,16,12,8,10,12,15,10,10,18,16,20,3,13,15,8,15,13,12,5,9,6,8,13,18,3,18,18,18,12,8,5,8,12,16,5,6,16,8,14,4,17,17,11,3,20,15,1
5296,62889,982309,17326377,61971,738021,11536573,949459,11330049,16399605,5296,-332997255,2.09379E+13,-1.31652E+18,-328136445,2.06323E+13,-1.2973E+18,2.03311E+13,-1.27836E+18,-1.2597E+18,3.24E+27,2.91E+29,2.01E+35,-2.74E+39,2.91E+29,1.08E+34,-2.12E+38,2.01E+35,-2.12E+38,-2.74E+39,49,6,29,29,15,45,22,18,28,49,15,27,25,15,21,31,35,39,5,21,0,11,8,16,13,5,10,18,10,1,8,6,17,2,10,17,12,16,10,18,13,4,9,4,9,3,13,9,20,19,15,3,14,1,14,4,17,10,9,20,1,10,4,10,14,9,10,12,17,12,18,1,9,12,18,8,11,5,10,6,3,6,11,6,18,16,17,18,17,1,1,15,8,10,9,6,14,10,7,7,12,13,6,4,4,17,15,10,4,11,3,9,5,13,5,18,1,10,16,9,17,20,12,1
